,Player,Year,Tm,Age,Pos,G,GS,rating_adj_1,df_id,pro_bowl,first_all_pro
65,Bryant Young,1999.0,SFO,27,LDT,16.0,16.0,104.5643421313708,DL,0,0
66,Chidi Ahanotu,1999.0,TAM,29,LDE,16.0,15.0,68.58005844331359,DL,0,0
67,Tim Bowens,1999.0,MIA,26,LDT,16.0,15.0,30.244346027827817,DL,0,0
68,Tony Brackens,1999.0,JAX,25,RDE,16.0,15.0,158.3,DL,0,0
69,Gilbert Brown,1999.0,GNB,28,LDT,16.0,15.0,23.500450753086497,DL,0,0
70,Daryl Gardener,1999.0,MIA,26,RDT,16.0,15.0,71.19615327988238,DL,0,0
71,Travis Hall,1999.0,ATL,27,LDT,16.0,15.0,101.98392655778535,DL,0,0
72,Steve Martin,1999.0,PHI,25,RDT,16.0,15.0,65.96421181011972,DL,0,0
73,Gabe Wilkins,1999.0,SFO,28,RDE,16.0,15.0,25.175948200750806,DL,0,0
74,Rich Owens,1999.0,MIA,27,LDE,16.0,14.0,137.02066230190133,DL,0,0
75,Tom Barndt,1999.0,KAN,27,RDT,16.0,13.0,34.196999695490824,DL,0,0
76,Kevin Henry,1999.0,PIT,31,RDE,16.0,13.0,53.926327362146544,DL,0,0
77,Mike Mamula,1999.0,PHI,26,RDE,16.0,13.0,123.29199826743552,DL,0,0
78,Tony Williams,1999.0,MIN,24,RDT,16.0,12.0,69.41707494972721,DL,0,0
79,Jerry Ball,1999.0,2TM,35,DT,16.0,13.0,33.683038410098675,DL,0,0
80,Jerry Ball,1999.0,CLE,35,DT,3.0,3.0,21.374906385054416,DL,0,0
81,Jerry Ball,1999.0,MIN,35,LDT,13.0,10.0,39.88659168890696,DL,0,0
82,Leslie O'Neal,1999.0,KAN,35,RDE,16.0,10.0,56.19188045432135,DL,0,0
83,Christian Peter,1999.0,NYG,27,LDT,16.0,10.0,18.34447954075472,DL,0,0
84,John Thierry,1999.0,CLE,28,LDE,16.0,10.0,92.89106097165171,DL,0,0
85,Michael Bankston,1999.0,CIN,29,RDE,16.0,9.0,76.14949119833213,DL,0,0
86,Duane Clemons,1999.0,MIN,25,LDE,16.0,9.0,99.7225296316478,DL,0,0
87,Kenard Lang,1999.0,WAS,24,LDE,16.0,9.0,133.4294969668931,DL,0,0
88,Larry Chester,1999.0,IND,24,LDT,16.0,8.0,44.89379684127011,DL,0,0
89,Van Tuinei,1999.0,CHI,28,RDE,16.0,8.0,47.285888868208595,DL,0,0
90,Anthony Cook,1999.0,WAS,27,LDE,16.0,7.0,20.347312477165257,DL,0,0
91,Jeff Posey,1999.0,SFO,24,LDE,16.0,6.0,34.03333195111771,DL,0,0
92,Brentson Buckner,1999.0,SFO,28,RDT,16.0,5.0,81.87694292842555,DL,0,0
93,Kimo von Oelhoffen,1999.0,CIN,28,LDT,16.0,5.0,39.315717996525684,DL,0,0
94,Marcus Jones,1999.0,TAM,26,DE,16.0,4.0,66.56562237907916,DL,0,0
95,Billy Lyon,1999.0,GNB,26,DT,16.0,4.0,29.864367226578754,DL,0,0
96,Troy Wilson,1999.0,NOR,29,DE,16.0,4.0,108.99379224369079,DL,0,0
97,Tom Burke,1999.0,ARI,23,DE,16.0,3.0,59.345018730242586,DL,0,0
98,Riddick Parker,1999.0,SEA,27,DT,16.0,3.0,41.867197500112546,DL,0,0
99,John Thornton,1999.0,TEN,23,DT,16.0,3.0,49.31167985689195,DL,0,0
100,Willie Whitehead,1999.0,NOR,26,DE,16.0,3.0,60.73471386818233,DL,0,0
101,Trace Armstrong,1999.0,MIA,34,DE,16.0,2.0,61.82456004074837,DL,0,0
102,Lional Dalton,1999.0,BAL,24,DT,16.0,2.0,19.556953273014905,DL,0,0
103,Ebenezer Ekuban,1999.0,DAL,23,DE,16.0,2.0,18.157729642421316,DL,0,0
104,Harald Hasselbach,1999.0,DEN,32,DE,16.0,2.0,17.9825828719118,DL,0,0
105,Patrick Kerney,1999.0,ATL,23,DE,16.0,2.0,34.02185292498131,DL,0,0
106,Keith McKenzie,1999.0,GNB,26,DE,16.0,2.0,85.87086115231882,DL,0,0
107,Joe Phillips,1999.0,MIN,36,DT,16.0,2.0,6.193864918396451,DL,0,0
108,Kelvin Pritchett,1999.0,DET,30,DT,16.0,2.0,2.4803562581947305,DL,0,0
109,Jeremy Staat,1999.0,PIT,23,DE,16.0,2.0,17.643768357029174,DL,0,0
110,Jamal Williams,1999.0,SDG,23,DT,16.0,2.0,34.73404313484327,DL,0,0
111,Charles Haley,1999.0,SFO,35,DE,16.0,1.0,39.422462160671216,DL,0,0
112,Matt LaBounty,1999.0,SEA,30,DE,16.0,1.0,24.86058473248369,DL,0,0
113,Mike Mohring,1999.0,SDG,25,DT,16.0,1.0,6.193864918396451,DL,0,0
114,Glen Steele,1999.0,CIN,25,DT,16.0,1.0,0.0,DL,0,0
115,Marcellus Wiley,1999.0,BUF,25,DE,16.0,1.0,47.34597573009085,DL,0,0
116,Bertrand Berry,1999.0,IND,24,DE,16.0,0.0,0.0,DL,0,0
117,David Bowens,1999.0,DEN,22,DE,16.0,0.0,3.916708698397754,DL,0,0
118,Bernard Holsey,1999.0,NYG,26,DT,16.0,0.0,10.398898713888135,DL,0,0
119,Ryan Kuehl,1999.0,CLE,27,DT,16.0,0.0,0.0,DL,0,0
